1 259923 ns
2 246045 ns
4 438094 ns
8 384528 ns
16 446061 ns
32 736958 ns
64 1126714 ns
128 2114444 ns
256 4010281 ns
512 9352334 ns
1024 18592797 ns
2048 32102978 ns
4096 75007696 ns
8192 150830097 ns
