clang++-runtime.cpp 7286
clang-runtime.c 8329
rustc-runtime.rs 9296
rustc-runtime-iter.rs 10595
rustc-runtime-get.rs 13506
g++-runtime.cpp 16220
gcc-runtime.c 19114
zig-runtime.zig 24262
rustc-runtime-get-if-let.rs 26595
